No.,Time,Source,Destination,Protocol,Length,Info,,Time 1,Time 2,Delay,,Delay 1,Delay 2,Jitter
37,5.417963,192.168.1.40,142.251.10.94,TCP,54,55678  >  443 [ACK] Seq=10220 Ack=2067 Win=256 Len=0,,5.417963,5.418237,0.000274,,-0.030105,0.030379,0.060484
38,5.418237,192.168.1.40,142.251.10.94,TLSv1.2,93,Application Data,,5.418237,5.448616,0.030379,,0.030379,0,-0.030379
39,5.448616,142.251.10.94,192.168.1.40,TCP,54,443  >  55678 [ACK] Seq=2067 Ack=10220 Win=350 Len=0,,5.448616,5.448616,0,,-1.560108,1.560108,3.120216
40,5.448616,142.251.10.94,192.168.1.40,TCP,54,443  >  55678 [ACK] Seq=2067 Ack=10259 Win=350 Len=0,,5.448616,7.008724,1.560108,,-0.771316,2.331424,3.10274
41,7.008724,192.168.1.33,255.255.255.255,UDP,230,49154  >  6667 Len=188,,7.008724,9.340148,2.331424,,2.316605,0.014819,-2.301786
42,9.340148,192.168.1.40,103.111.138.76,UDP,860,60695  >  443 Len=818,,9.340148,9.354967,0.014819,,0.014022,0.000797,-0.013225
43,9.354967,103.111.138.76,192.168.1.40,UDP,70,443  >  60695 Len=28,,9.354967,9.355764,0.000797,,0.000667,0.00013,-0.000537
44,9.355764,103.111.138.76,192.168.1.40,UDP,163,443  >  60695 Len=121,,9.355764,9.355894,0.00013,,0.000064,6.60E-05,2E-06
45,9.355894,103.111.138.76,192.168.1.40,UDP,1288,443  >  60695 Len=1246,,9.355894,9.35596,6.60E-05,,-0.000624,0.00069,0.001314
46,9.35596,192.168.1.40,103.111.138.76,UDP,78,60695  >  443 Len=36,,9.35596,9.35665,0.00069,,-0.00054,0.00123,0.00177
47,9.35665,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.35665,9.35788,0.00123,,0.000723,0.000507,-0.000216
48,9.35788,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.35788,9.358387,0.000507,,4E-05,0.000467,0.000427
49,9.358387,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.358387,9.358854,0.000467,,0.000454,1.30E-05,-0.000441
50,9.358854,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.358854,9.358867,1.30E-05,,-0.003123,0.003136,0.006259
51,9.358867,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.358867,9.362003,0.003136,,0.003061,7.50E-05,-0.002986
52,9.362003,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.362003,9.362078,7.50E-05,,-0.000406,0.000481,0.000887
53,9.362078,192.168.1.40,103.111.138.76,UDP,75,60695  >  443 Len=33,,9.362078,9.362559,0.000481,,-0.002623,0.003104,0.005727
54,9.362559,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.362559,9.365663,0.003104,,0.003104,0,-0.003104
55,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
56,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
57,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
58,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
59,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
60,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
61,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
62,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
63,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
64,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
65,9.365663,103.111.138.76,192.168.1.40,UDP,1292,443  >  60695 Len=1250,,9.365663,9.365663,0,,0,0,0
